,0
255,0.11163488775208219
0,0.08038092419566228
2,0.049058258994630705
1,0.04091975647909356
3,0.022919925590834143
63,0.017351569216026156
4,0.017119040572725095
62,0.016412646739666567
65,0.01634394509505489
64,0.016026860581462535
66,0.01602157583956933
61,0.015884172550345976
67,0.014816654687918375
60,0.0143938753364619
5,0.014119068758015193
59,0.013720951535393678
68,0.012819022252286531
58,0.012634056286024323
6,0.012257078030975635
69,0.011476697811412223
57,0.011055680040586817
7,0.010972885750926592
56,0.010019870629518455
110,0.009877182598401894
8,0.009646415535731902
111,0.009110895023887034
9,0.00867226144675094
70,0.008665215124226666
55,0.008446779125974154
112,0.008334037965585761
13,0.008173734128158514
12,0.008119125128595386
109,0.008069800870925464
14,0.00787955016277005
10,0.007877788582138981
71,0.007752716357333108
11,0.007544849842867008
20,0.0072224805873814454
19,0.007148494200876563
21,0.007141447878352288
15,0.007090362040051298
18,0.007004044589128933
22,0.006900111331895884
23,0.006797939655293902
54,0.006732761171944362
25,0.006723953268789019
113,0.0066217815921870374
17,0.0065918347214588705
16,0.006463239335390859
24,0.006445623529080173
108,0.006373398723206358
26,0.0062166180470412495
72,0.006209571724516975
27,0.005665243309516763
53,0.005573641116701194
28,0.005554263729759439
107,0.005395721472963261
114,0.005284741893205936
73,0.00521427866796319
29,0.005184331797235023
106,0.005062782733691287
33,0.005055736411167012
31,0.004791499316506715
30,0.00465409602728336
34,0.004634718640341606
32,0.0045994870277202326
74,0.0045871559633027525
52,0.004562493834467792
35,0.004374004706943446
36,0.004085105483448188
38,0.004074535999661777
37,0.004060443354613227
105,0.004005834355050099
39,0.003972364323059795
75,0.003931847968545216
40,0.0038701926464578137
51,0.003769782550486901
41,0.0037063656477684297
43,0.003655279809467439
104,0.003540777068447977
42,0.0035231612621372905
50,0.0035020222945644666
44,0.003491452810778055
115,0.0034720754238362996
46,0.0034403669724770644
49,0.003415704843642103
48,0.003401612198593554
76,0.003392804295438211
45,0.0032360236192731013
47,0.003183176200341042
103,0.0030862892656322665
77,0.0030017333953409717
102,0.0028273369128651755
78,0.00279562846150594
116,0.0023517101424766415
101,0.0022037373694668754
79,0.0021667441762144336
253,0.0021667441762144336
100,0.002135035724855198
80,0.00211918149917558
81,0.0020082019194182558
97,0.0020082019194182558
99,0.0020029171775250497
82,0.0019130765653405488
95,0.00180738172747643
94,0.0017756732761171944
96,0.0017545343085443707
98,0.0017069716315055172
92,0.0016329852450006341
93,0.0016171310193210163
117,0.0015484293747093391
83,0.0015431446328161332
89,0.0015061514395636917
91,0.0014955819557772798
90,0.0014427345368452204
87,0.0014427345368452204
88,0.0014163108273791908
86,0.0013687481503403373
84,0.0013370396989811017
85,0.0012630533124762186
118,0.000829704477233332
119,0.0003223692554855621
120,0.00016911174058258994
121,5.8132160825265294e-05
122,2.6423709466029678e-05
123,1.0569483786411871e-05
